代码,名称,最新价,涨跌幅%,换手率%,主力流向,主力净流入(万),资金流时间,抓取时间
000007,全新好,14.53,4.01,259.38,流入,1502.42,2026-04-28T15:00:00+08:00,2026-05-28T15:43:27+08:00
000009,中国宝安,8.82,-0.45,90.79,流出,-2143.29,2026-04-28T15:00:00+08:00,2026-05-28T15:43:27+08:00
000006,深振业Ａ,9.18,-1.82,157.36,流入,49.96,2026-04-28T15:00:00+08:00,2026-05-28T15:43:27+08:00
000011,深物业A,8.27,-2.36,97.96,持平,0.0,2026-04-28T15:00:00+08:00,2026-05-28T15:43:27+08:00
000001,平安银行,11.46,0.7,86.28,流入,6330.92,2026-04-28T15:00:00+08:00,2026-05-28T15:43:27+08:00
000010,*ST美丽,3.04,-10.06,145.72,流出,-1238.34,2026-04-28T15:00:00+08:00,2026-05-28T15:43:27+08:00
000008,神州高铁,2.65,-0.38,111.89,流出,-823.19,2026-04-28T15:00:00+08:00,2026-05-28T15:43:27+08:00
000012,南  玻Ａ,4.03,-9.23,371.29,流出,-4859.33,2026-04-28T15:00:00+08:00,2026-05-28T15:43:28+08:00
000017,深中华A,6.3,-1.41,142.21,持平,0.0,2026-04-28T15:00:00+08:00,2026-05-28T15:43:28+08:00
000014,沙河股份,13.04,-1.29,172.9,持平,0.0,2026-04-28T15:00:00+08:00,2026-05-28T15:43:28+08:00
000016,*ST康佳A,3.41,0.29,345.63,流出,-421.26,2026-04-28T15:00:00+08:00,2026-05-28T15:43:28+08:00
000020,深华发Ａ,15.73,-0.69,284.89,流入,185.48,2026-04-28T15:00:00+08:00,2026-05-28T15:43:28+08:00
000021,深科技,28.6,-2.36,418.3,流出,-23765.52,2026-04-28T15:00:00+08:00,2026-05-28T15:43:28+08:00
000019,深粮控股,7.56,-4.79,699.7,流出,-879.26,2026-04-28T15:00:00+08:00,2026-05-28T15:43:28+08:00
000025,特  力Ａ,16.32,1.56,224.22,流出,-104.47,2026-04-28T15:00:00+08:00,2026-05-28T15:43:28+08:00
000027,深圳能源,6.93,-0.14,79.74,流入,526.54,2026-04-28T15:00:00+08:00,2026-05-28T15:43:28+08:00
000028,国药一致,24.69,0.57,81.58,流出,-78.21,2026-04-28T15:00:00+08:00,2026-05-28T15:43:28+08:00
000026,飞亚达,17.77,-2.36,401.58,流出,-419.74,2026-04-28T15:00:00+08:00,2026-05-28T15:43:28+08:00
000029,深深房Ａ,20.35,-1.88,58.13,流出,-867.08,2026-04-28T15:00:00+08:00,2026-05-28T15:43:28+08:00
000030,富奥股份,5.06,-1.75,101.13,流出,-733.18,2026-04-28T15:00:00+08:00,2026-05-28T15:43:28+08:00
000031,大悦城,2.87,-1.03,45.79,流出,-376.12,2026-04-28T15:00:00+08:00,2026-05-28T15:43:28+08:00
000032,深桑达Ａ,17.87,-0.61,171.62,流入,2525.96,2026-04-28T15:00:00+08:00,2026-05-28T15:43:28+08:00
000035,中国天楹,6.7,-1.18,133.26,流出,-276.68,2026-04-28T15:00:00+08:00,2026-05-28T15:43:28+08:00
000034,神州数码,37.99,3.09,790.12,流入,36553.75,2026-04-28T15:00:00+08:00,2026-05-28T15:43:28+08:00
