代码,名称,最新价,涨跌幅%,换手率%,主力流向,主力净流入(万),资金流时间,抓取时间
000007,全新好,12.59,1.04,762.22,流出,-975.73,2026-05-25T15:00:00+08:00,2026-05-28T15:43:27+08:00
000009,中国宝安,7.55,-2.71,100.24,流出,-887.28,2026-05-25T15:00:00+08:00,2026-05-28T15:43:27+08:00
000006,深振业Ａ,10.42,-4.23,383.51,流出,-7864.64,2026-05-25T15:00:00+08:00,2026-05-28T15:43:27+08:00
000011,深物业A,7.51,-0.66,57.22,持平,0.0,2026-05-25T15:00:00+08:00,2026-05-28T15:43:27+08:00
000001,平安银行,10.68,0.0,34.01,流出,-3073.97,2026-05-25T15:00:00+08:00,2026-05-28T15:43:27+08:00
000010,*ST美丽,2.12,-4.93,419.45,流出,-1276.99,2026-05-25T15:00:00+08:00,2026-05-28T15:43:27+08:00
000008,神州高铁,2.61,-0.38,105.37,流出,-830.31,2026-05-25T15:00:00+08:00,2026-05-28T15:43:27+08:00
000012,南  玻Ａ,4.6,4.55,1025.41,流入,6003.84,2026-05-25T15:00:00+08:00,2026-05-28T15:43:28+08:00
000017,深中华A,5.65,-1.05,133.7,流出,-101.76,2026-05-25T15:00:00+08:00,2026-05-28T15:43:28+08:00
000014,沙河股份,11.18,-1.67,218.64,持平,0.0,2026-05-25T15:00:00+08:00,2026-05-28T15:43:28+08:00
000016,*ST康佳A,3.47,5.15,287.02,流入,3831.56,2026-05-25T15:00:00+08:00,2026-05-28T15:43:28+08:00
000020,深华发Ａ,13.02,-1.44,243.63,流出,-117.69,2026-05-25T15:00:00+08:00,2026-05-28T15:43:28+08:00
000021,深科技,41.15,9.06,1511.65,流入,111143.48,2026-05-25T15:00:00+08:00,2026-05-28T15:43:28+08:00
000019,深粮控股,6.61,-1.78,246.98,流出,-410.78,2026-05-25T15:00:00+08:00,2026-05-28T15:43:28+08:00
000025,特  力Ａ,14.73,-1.01,72.63,流出,-101.5,2026-05-25T15:00:00+08:00,2026-05-28T15:43:28+08:00
000027,深圳能源,7.56,3.42,107.42,流入,721.58,2026-05-25T15:00:00+08:00,2026-05-28T15:43:28+08:00
000028,国药一致,23.7,-0.42,32.95,持平,0.0,2026-05-25T15:00:00+08:00,2026-05-28T15:43:28+08:00
000026,飞亚达,27.03,5.79,1180.54,流入,1056.55,2026-05-25T15:00:00+08:00,2026-05-28T15:43:28+08:00
000029,深深房Ａ,24.78,-2.82,112.67,流出,-1428.17,2026-05-25T15:00:00+08:00,2026-05-28T15:43:28+08:00
000030,富奥股份,4.76,1.06,59.47,流入,5.86,2026-05-25T15:00:00+08:00,2026-05-28T15:43:28+08:00
000031,大悦城,2.65,0.38,70.21,流入,367.61,2026-05-25T15:00:00+08:00,2026-05-28T15:43:28+08:00
000032,深桑达Ａ,18.9,-1.51,232.83,流出,-53.58,2026-05-25T15:00:00+08:00,2026-05-28T15:43:28+08:00
000035,中国天楹,5.94,-0.83,146.98,流入,2009.88,2026-05-25T15:00:00+08:00,2026-05-28T15:43:28+08:00
000034,神州数码,29.52,1.55,664.09,流入,6322.88,2026-05-25T15:00:00+08:00,2026-05-28T15:43:28+08:00
000036,华联控股,5.38,-1.1,217.05,流出,-564.25,2026-05-25T15:00:00+08:00,2026-05-28T15:43:28+08:00
000037,深南电A,10.0,1.11,440.96,流入,152.27,2026-05-25T15:00:00+08:00,2026-05-28T15:43:28+08:00
000039,中集集团,10.12,-2.03,206.07,流入,400.51,2026-05-25T15:00:00+08:00,2026-05-28T15:43:28+08:00
000042,中洲控股,10.14,1.1,72.5,流入,113.89,2026-05-25T15:00:00+08:00,2026-05-28T15:43:28+08:00
000045,深纺织Ａ,12.09,-0.9,174.6,流入,595.46,2026-05-25T15:00:00+08:00,2026-05-28T15:43:28+08:00
000002,万  科Ａ,3.49,0.87,97.78,流入,2492.32,2026-05-25T15:00:00+08:00,2026-05-28T15:43:28+08:00
000050,深天马Ａ,8.07,1.51,265.92,流入,4113.1,2026-05-25T15:00:00+08:00,2026-05-28T15:43:28+08:00
000049,德赛电池,26.9,-1.9,250.12,流出,-1276.85,2026-05-25T15:00:00+08:00,2026-05-28T15:43:28+08:00
000048,京基智农,13.42,-1.4,147.0,流出,-103.26,2026-05-25T15:00:00+08:00,2026-05-28T15:43:28+08:00
000055,方大集团,3.57,-0.56,158.76,流入,158.63,2026-05-25T15:00:00+08:00,2026-05-28T15:43:28+08:00
000058,深 赛 格,7.55,-0.4,55.19,流入,144.12,2026-05-25T15:00:00+08:00,2026-05-28T15:43:28+08:00
000056,*ST皇庭,1.32,4.76,171.59,流入,891.68,2026-05-25T15:00:00+08:00,2026-05-28T15:43:28+08:00
000059,华锦股份,4.59,-2.55,153.68,流出,-288.03,2026-05-25T15:00:00+08:00,2026-05-28T15:43:28+08:00
000060,中金岭南,7.71,1.85,775.63,流入,13053.53,2026-05-25T15:00:00+08:00,2026-05-28T15:43:28+08:00
000061,农 产 品,6.56,0.46,64.43,流入,132.93,2026-05-25T15:00:00+08:00,2026-05-28T15:43:28+08:00
000062,深圳华强,36.18,4.48,919.41,流入,26622.55,2026-05-25T15:00:00+08:00,2026-05-28T15:43:28+08:00
000063,中兴通讯,36.27,1.77,229.3,流入,31410.44,2026-05-25T15:00:00+08:00,2026-05-28T15:43:28+08:00
000068,华控赛格,3.1,0.0,112.17,流出,-109.26,2026-05-25T15:00:00+08:00,2026-05-28T15:43:28+08:00
000066,中国长城,20.58,-1.67,836.48,流出,-15698.24,2026-05-25T15:00:00+08:00,2026-05-28T15:43:28+08:00
000069,华侨城Ａ,1.97,1.03,53.02,流入,1303.12,2026-05-25T15:00:00+08:00,2026-05-28T15:43:28+08:00
000070,特发信息,18.32,-0.87,666.59,流出,-2099.95,2026-05-25T15:00:00+08:00,2026-05-28T15:43:29+08:00
000078,ST海王,1.63,0.0,759.12,流出,-464.07,2026-05-25T15:00:00+08:00,2026-05-28T15:43:29+08:00
000089,深圳机场,6.78,1.19,50.78,流入,1120.99,2026-05-25T15:00:00+08:00,2026-05-28T15:43:29+08:00
000088,盐 田 港,4.48,0.0,54.15,流入,441.62,2026-05-25T15:00:00+08:00,2026-05-28T15:43:29+08:00
000096,广聚能源,8.46,-1.97,153.54,流入,336.14,2026-05-25T15:00:00+08:00,2026-05-28T15:43:29+08:00
000090,天健集团,3.33,0.6,61.35,流出,-136.36,2026-05-25T15:00:00+08:00,2026-05-28T15:43:29+08:00
000099,中信海直,16.82,1.51,127.55,流入,2325.41,2026-05-25T15:00:00+08:00,2026-05-28T15:43:29+08:00
000100,TCL科技,4.44,1.37,647.18,流入,53750.37,2026-05-25T15:00:00+08:00,2026-05-28T15:43:29+08:00
000151,中成股份,11.53,-0.35,222.26,流入,535.85,2026-05-25T15:00:00+08:00,2026-05-28T15:43:29+08:00
