代码,名称,最新价,涨跌幅%,换手率%,主力流向,主力净流入(万),资金流时间,抓取时间
000007,全新好,12.19,-3.18,320.67,流出,-299.94,2026-05-26T15:00:00+08:00,2026-05-28T15:43:27+08:00
000009,中国宝安,7.57,0.4,77.14,流出,-320.15,2026-05-26T15:00:00+08:00,2026-05-28T15:43:27+08:00
000006,深振业Ａ,10.28,-1.34,258.34,流出,-1867.0,2026-05-26T15:00:00+08:00,2026-05-28T15:43:27+08:00
000011,深物业A,7.35,-1.87,70.25,流出,-146.84,2026-05-26T15:00:00+08:00,2026-05-28T15:43:27+08:00
000001,平安银行,10.78,0.94,42.25,流入,1365.41,2026-05-26T15:00:00+08:00,2026-05-28T15:43:27+08:00
000010,*ST美丽,2.01,-5.19,150.79,流入,139.95,2026-05-26T15:00:00+08:00,2026-05-28T15:43:27+08:00
000008,神州高铁,2.57,-1.53,109.15,流出,-976.05,2026-05-26T15:00:00+08:00,2026-05-28T15:43:27+08:00
000012,南  玻Ａ,4.51,-1.96,804.67,流入,999.43,2026-05-26T15:00:00+08:00,2026-05-28T15:43:28+08:00
000017,深中华A,5.56,-1.59,141.34,流出,-132.98,2026-05-26T15:00:00+08:00,2026-05-28T15:43:28+08:00
000014,沙河股份,10.9,-2.5,240.16,流入,104.89,2026-05-26T15:00:00+08:00,2026-05-28T15:43:28+08:00
000016,*ST康佳A,3.56,2.59,378.63,流出,-898.17,2026-05-26T15:00:00+08:00,2026-05-28T15:43:28+08:00
000020,深华发Ａ,12.94,-0.31,246.08,流入,109.01,2026-05-26T15:00:00+08:00,2026-05-28T15:43:28+08:00
000021,深科技,42.75,3.89,1705.51,流出,-28001.98,2026-05-26T15:00:00+08:00,2026-05-28T15:43:28+08:00
000019,深粮控股,6.55,-0.91,199.48,持平,0.0,2026-05-26T15:00:00+08:00,2026-05-28T15:43:28+08:00
000025,特  力Ａ,14.62,-0.61,105.84,流入,102.63,2026-05-26T15:00:00+08:00,2026-05-28T15:43:28+08:00
000027,深圳能源,7.62,0.79,143.04,流入,3082.72,2026-05-26T15:00:00+08:00,2026-05-28T15:43:28+08:00
000028,国药一致,23.58,-0.51,32.5,流入,118.04,2026-05-26T15:00:00+08:00,2026-05-28T15:43:28+08:00
000026,飞亚达,24.34,-9.99,790.21,流出,-15096.11,2026-05-26T15:00:00+08:00,2026-05-28T15:43:28+08:00
000029,深深房Ａ,24.98,0.85,98.0,流入,832.5,2026-05-26T15:00:00+08:00,2026-05-28T15:43:28+08:00
