代码,名称,最新价,涨跌幅%,换手率%,主力流向,主力净流入(万),资金流时间,抓取时间
000001,平安银行,11.52,0.52,71.03,流入,13585.69,2026-04-29T15:00:00+08:00,2026-05-27T09:17:07+08:00
000002,万  科Ａ,3.87,3.2,149.46,流入,10269.79,2026-04-29T15:00:00+08:00,2026-05-27T09:17:07+08:00
000006,深振业Ａ,9.51,3.59,175.03,流入,1631.0,2026-04-29T15:00:00+08:00,2026-05-27T09:17:07+08:00
000007,全新好,14.1,-2.96,343.75,流出,-681.03,2026-04-29T15:00:00+08:00,2026-05-27T09:17:08+08:00
000008,神州高铁,2.7,1.89,177.89,流入,3210.35,2026-04-29T15:00:00+08:00,2026-05-27T09:17:08+08:00
000009,中国宝安,9.28,5.22,243.0,流入,14284.85,2026-04-29T15:00:00+08:00,2026-05-27T09:17:09+08:00
000010,*ST美丽,0.0,0.0,0.0,持平,0.0,2026-04-29T15:00:00+08:00,2026-05-27T09:17:09+08:00
000011,深物业A,8.07,-2.42,214.57,流出,-334.75,2026-04-29T15:00:00+08:00,2026-05-27T09:17:09+08:00
000012,南  玻Ａ,4.06,0.74,136.63,流入,1199.71,2026-04-29T15:00:00+08:00,2026-05-27T09:17:31+08:00
000014,沙河股份,13.2,1.23,284.55,流入,453.72,2026-04-29T15:00:00+08:00,2026-05-27T09:17:31+08:00
000016,*ST康佳A,0.0,0.0,0.0,持平,0.0,2026-04-29T15:00:00+08:00,2026-05-27T09:17:32+08:00
000017,深中华A,6.41,1.75,187.37,持平,0.0,2026-04-29T15:00:00+08:00,2026-05-27T09:17:32+08:00
000019,深粮控股,7.75,2.51,591.1,流入,1625.59,2026-04-29T15:00:00+08:00,2026-05-27T09:17:33+08:00
000020,深华发Ａ,15.93,1.27,328.29,流入,238.82,2026-04-29T15:00:00+08:00,2026-05-27T09:17:33+08:00
000021,深科技,29.23,2.2,537.77,流入,43406.1,2026-04-29T15:00:00+08:00,2026-05-27T09:17:34+08:00
000025,特  力Ａ,16.39,0.43,161.21,流出,-386.8,2026-04-29T15:00:00+08:00,2026-05-27T09:17:34+08:00
000026,飞亚达,18.05,1.58,321.36,流入,610.99,2026-04-29T15:00:00+08:00,2026-05-27T09:17:35+08:00
000027,深圳能源,6.96,0.43,62.25,流入,1334.34,2026-04-29T15:00:00+08:00,2026-05-27T09:17:35+08:00
000028,国药一致,24.8,0.45,82.65,流出,-647.31,2026-04-29T15:00:00+08:00,2026-05-27T09:17:36+08:00
000029,深深房Ａ,20.95,2.95,65.75,流入,1161.17,2026-04-29T15:00:00+08:00,2026-05-27T09:17:36+08:00
000030,富奥股份,5.1,0.79,89.11,流出,-547.41,2026-04-29T15:00:00+08:00,2026-05-27T09:17:36+08:00
000031,大悦城,2.97,3.48,66.17,流入,1536.02,2026-04-29T15:00:00+08:00,2026-05-27T09:17:37+08:00
000032,深桑达Ａ,17.79,-0.45,122.88,流入,627.22,2026-04-29T15:00:00+08:00,2026-05-27T09:17:37+08:00
000034,神州数码,37.44,-1.45,436.18,流出,-3679.75,2026-04-29T15:00:00+08:00,2026-05-27T09:17:38+08:00
000035,中国天楹,6.7,0.0,194.95,流入,407.5,2026-04-29T15:00:00+08:00,2026-05-27T09:17:38+08:00
000036,华联控股,5.44,6.46,448.1,流入,1519.29,2026-04-29T15:00:00+08:00,2026-05-27T09:17:39+08:00
000037,深南电A,10.92,1.58,1042.4,流入,2359.91,2026-04-29T15:00:00+08:00,2026-05-27T09:17:39+08:00
000039,中集集团,12.43,10.0,376.41,流入,23884.64,2026-04-29T15:00:00+08:00,2026-05-27T09:17:39+08:00
000042,中洲控股,8.87,-0.56,73.02,流入,169.03,2026-04-29T15:00:00+08:00,2026-05-27T09:17:40+08:00
000045,深纺织Ａ,11.71,0.43,111.78,流入,240.57,2026-04-29T15:00:00+08:00,2026-05-27T09:17:40+08:00
000048,京基智农,14.72,3.74,318.85,流入,1746.73,2026-04-29T15:00:00+08:00,2026-05-27T09:17:41+08:00
000049,德赛电池,29.73,5.09,728.09,流入,13243.88,2026-04-29T15:00:00+08:00,2026-05-27T09:17:41+08:00
000050,深天马Ａ,8.18,0.49,73.72,流入,917.14,2026-04-29T15:00:00+08:00,2026-05-27T09:17:42+08:00
000055,方大集团,3.64,-0.27,274.38,流出,-146.85,2026-04-29T15:00:00+08:00,2026-05-27T09:17:42+08:00
000056,*ST皇庭,1.83,-5.18,1526.11,流出,-4372.2,2026-04-29T15:00:00+08:00,2026-05-27T09:17:43+08:00
000058,深 赛 格,8.13,1.12,61.49,流入,13.12,2026-04-29T15:00:00+08:00,2026-05-27T09:17:43+08:00
