代码,名称,最新价,涨跌幅%,换手率%,主力流向,主力净流入(万),资金流时间,抓取时间
000007,全新好,17.02,6.57,409.13,流入,1413.66,2026-05-07T15:00:00+08:00,2026-05-28T15:43:27+08:00
000009,中国宝安,8.61,-1.49,145.8,流出,-5951.37,2026-05-07T15:00:00+08:00,2026-05-28T15:43:27+08:00
000006,深振业Ａ,9.44,-0.32,214.55,流出,-1309.11,2026-05-07T15:00:00+08:00,2026-05-28T15:43:27+08:00
000011,深物业A,7.87,-1.62,115.03,流出,-536.78,2026-05-07T15:00:00+08:00,2026-05-28T15:43:27+08:00
000001,平安银行,11.37,0.09,48.28,流入,7458.93,2026-05-07T15:00:00+08:00,2026-05-28T15:43:27+08:00
000010,*ST美丽,2.61,-5.09,13.74,持平,0.0,2026-05-07T15:00:00+08:00,2026-05-28T15:43:27+08:00
000008,神州高铁,2.73,1.11,190.72,流入,2529.9,2026-05-07T15:00:00+08:00,2026-05-28T15:43:27+08:00
000012,南  玻Ａ,4.04,0.25,105.17,流入,608.17,2026-05-07T15:00:00+08:00,2026-05-28T15:43:28+08:00
000017,深中华A,6.39,-0.31,190.96,流入,56.12,2026-05-07T15:00:00+08:00,2026-05-28T15:43:28+08:00
000014,沙河股份,12.94,-1.22,328.99,流出,-687.88,2026-05-07T15:00:00+08:00,2026-05-28T15:43:28+08:00
000016,*ST康佳A,2.94,-4.55,721.73,流出,-764.55,2026-05-07T15:00:00+08:00,2026-05-28T15:43:28+08:00
000020,深华发Ａ,16.02,0.44,317.57,流入,237.17,2026-05-07T15:00:00+08:00,2026-05-28T15:43:28+08:00
000021,深科技,31.54,2.67,785.4,流入,766.23,2026-05-07T15:00:00+08:00,2026-05-28T15:43:28+08:00
000019,深粮控股,7.62,-2.56,529.63,流出,-833.26,2026-05-07T15:00:00+08:00,2026-05-28T15:43:28+08:00
000025,特  力Ａ,16.12,-1.16,143.24,流出,-1119.02,2026-05-07T15:00:00+08:00,2026-05-28T15:43:28+08:00
000027,深圳能源,7.09,0.71,102.65,流入,2704.28,2026-05-07T15:00:00+08:00,2026-05-28T15:43:28+08:00
000028,国药一致,24.52,-0.2,72.77,流出,-1263.37,2026-05-07T15:00:00+08:00,2026-05-28T15:43:28+08:00
000026,飞亚达,18.72,4.87,573.69,流入,4258.23,2026-05-07T15:00:00+08:00,2026-05-28T15:43:28+08:00
000029,深深房Ａ,21.39,1.18,58.62,流入,1263.8,2026-05-07T15:00:00+08:00,2026-05-28T15:43:28+08:00
000030,富奥股份,5.09,-0.2,82.84,流入,194.08,2026-05-07T15:00:00+08:00,2026-05-28T15:43:28+08:00
000031,大悦城,3.02,-2.27,64.8,流出,-1004.05,2026-05-07T15:00:00+08:00,2026-05-28T15:43:28+08:00
000032,深桑达Ａ,18.22,2.13,161.85,流入,4114.18,2026-05-07T15:00:00+08:00,2026-05-28T15:43:28+08:00
000035,中国天楹,6.69,1.52,198.34,流入,3334.74,2026-05-07T15:00:00+08:00,2026-05-28T15:43:28+08:00
000034,神州数码,41.4,5.0,1032.29,流入,59882.34,2026-05-07T15:00:00+08:00,2026-05-28T15:43:28+08:00
000036,华联控股,5.52,-1.25,320.73,流出,-641.25,2026-05-07T15:00:00+08:00,2026-05-28T15:43:28+08:00
000037,深南电A,11.3,1.07,1090.17,流入,1167.0,2026-05-07T15:00:00+08:00,2026-05-28T15:43:28+08:00
000039,中集集团,13.21,-1.12,373.14,流入,4397.15,2026-05-07T15:00:00+08:00,2026-05-28T15:43:28+08:00
000042,中洲控股,9.61,-1.54,226.68,流入,1664.61,2026-05-07T15:00:00+08:00,2026-05-28T15:43:28+08:00
000045,深纺织Ａ,12.18,0.33,135.02,流出,-14.19,2026-05-07T15:00:00+08:00,2026-05-28T15:43:28+08:00
000002,万  科Ａ,3.98,-0.75,116.78,流出,-323.9,2026-05-07T15:00:00+08:00,2026-05-28T15:43:28+08:00
000050,深天马Ａ,7.71,1.45,115.32,流入,2685.86,2026-05-07T15:00:00+08:00,2026-05-28T15:43:28+08:00
000049,德赛电池,28.87,-1.77,429.03,流出,-3381.59,2026-05-07T15:00:00+08:00,2026-05-28T15:43:28+08:00
000048,京基智农,14.94,1.84,273.28,流入,2591.98,2026-05-07T15:00:00+08:00,2026-05-28T15:43:28+08:00
000055,方大集团,3.71,0.0,173.04,流入,345.64,2026-05-07T15:00:00+08:00,2026-05-28T15:43:28+08:00
000058,深 赛 格,8.17,-0.73,71.15,流出,-616.71,2026-05-07T15:00:00+08:00,2026-05-28T15:43:28+08:00
000056,*ST皇庭,1.7,-5.03,973.14,流出,-3088.78,2026-05-07T15:00:00+08:00,2026-05-28T15:43:28+08:00
000059,华锦股份,5.2,-5.11,323.53,流出,-4946.63,2026-05-07T15:00:00+08:00,2026-05-28T15:43:28+08:00
000060,中金岭南,8.08,8.75,1629.28,流入,78239.15,2026-05-07T15:00:00+08:00,2026-05-28T15:43:28+08:00
000061,农 产 品,7.4,-1.73,118.29,流出,-3264.25,2026-05-07T15:00:00+08:00,2026-05-28T15:43:28+08:00
000062,深圳华强,37.46,1.57,1052.56,流入,14072.51,2026-05-07T15:00:00+08:00,2026-05-28T15:43:28+08:00
000063,中兴通讯,38.9,1.7,363.33,流入,58314.1,2026-05-07T15:00:00+08:00,2026-05-28T15:43:28+08:00
000068,华控赛格,3.27,0.0,150.55,流出,-123.08,2026-05-07T15:00:00+08:00,2026-05-28T15:43:28+08:00
000066,中国长城,23.98,10.0,1580.16,流入,180060.47,2026-05-07T15:00:00+08:00,2026-05-28T15:43:28+08:00
000069,华侨城Ａ,2.23,-1.76,71.1,流出,-1624.38,2026-05-07T15:00:00+08:00,2026-05-28T15:43:28+08:00
000070,特发信息,20.11,10.01,1406.46,流入,49164.54,2026-05-07T15:00:00+08:00,2026-05-28T15:43:29+08:00
000078,ST海王,2.87,-4.97,6.2,流出,-101.91,2026-05-07T15:00:00+08:00,2026-05-28T15:43:29+08:00
000089,深圳机场,6.98,-0.99,59.66,流出,-428.2,2026-05-07T15:00:00+08:00,2026-05-28T15:43:29+08:00
000088,盐 田 港,4.57,0.88,84.15,流入,1775.23,2026-05-07T15:00:00+08:00,2026-05-28T15:43:29+08:00
000096,广聚能源,9.49,-1.25,139.58,流出,-238.75,2026-05-07T15:00:00+08:00,2026-05-28T15:43:29+08:00
000090,天健集团,3.53,-0.28,94.29,流出,-392.42,2026-05-07T15:00:00+08:00,2026-05-28T15:43:29+08:00
000099,中信海直,18.05,1.18,112.66,流出,-1040.34,2026-05-07T15:00:00+08:00,2026-05-28T15:43:29+08:00
000100,TCL科技,4.3,0.23,360.69,流出,-6281.15,2026-05-07T15:00:00+08:00,2026-05-28T15:43:29+08:00
000151,中成股份,12.04,0.84,240.34,流入,383.03,2026-05-07T15:00:00+08:00,2026-05-28T15:43:29+08:00
000153,丰原药业,6.38,-1.85,238.66,流出,-237.89,2026-05-07T15:00:00+08:00,2026-05-28T15:43:29+08:00
000155,川能动力,17.36,-2.75,451.89,流出,-19442.48,2026-05-07T15:00:00+08:00,2026-05-28T15:43:29+08:00
000156,华数传媒,7.58,0.93,84.2,流入,1668.0,2026-05-07T15:00:00+08:00,2026-05-28T15:43:29+08:00
